t,side,size,entry,exit,pnl
2022-02-23 07:00:00,long,74.72245943637839,1892.958,1894.658,127.02818104182967
2022-03-09 08:00:00,long,153.75153751537434,2011.501,2009.178,-357.1648216481939
2022-03-21 19:00:00,short,39.98103756504046,1933.168,1935.488,-92.75600715090042
2022-03-25 07:00:00,long,85.24941543258004,1950.337,1953.078,233.66864770070063
2022-04-20 21:00:00,short,112.67061550347682,1957.612,1955.828,201.00437805821454
2022-04-28 23:00:00,short,112.93965795417873,1895.888,1900.653,-538.1574701516729
2022-05-25 12:00:00,long,100.7049345417919,1851.998,1845.693,-634.9446122860044
2022-06-03 09:00:00,long,108.08807634106391,1858.248,1858.318,7.566165343867592
2022-06-03 12:00:00,long,131.55174681926667,1857.618,1851.828,-761.6846140835493
2022-06-15 09:00:00,short,117.44572329787573,1825.294,1831.578,-738.0289252038368
2022-08-05 16:00:00,long,86.32490226787857,1774.847,1773.464,-119.38733983647936
2022-08-18 08:00:00,short,88.84376189871763,1770.354,1770.354,0.0
2022-09-02 09:00:00,short,173.52073572791994,1706.904,1708.734,-317.54294638208086
2022-09-21 09:00:00,short,147.48951770927707,1673.268,1674.098,-122.41629969868923
2022-10-05 06:00:00,long,132.13281235252785,1706.378,1706.374,-0.5285312493976133
2022-10-05 08:00:00,long,95.73827889928364,1706.088,1706.077,-1.0531210678889855
2022-10-06 14:00:00,long,79.84942679518667,1708.104,1712.234,329.7781326641115
2022-10-11 14:00:00,short,94.7315713261072,1680.595,1678.148,231.80815503499534
2022-11-08 04:00:00,long,81.49484836137147,1669.978,1666.707,-266.56964899004265
2022-11-17 01:00:00,long,165.50419671355922,1763.698,1762.898,-132.40335737087747
2022-12-02 11:00:00,long,139.3534002229649,1785.538,1785.527,-1.5328874024480512
2022-12-06 09:00:00,short,93.21526066981819,1778.818,1778.158,61.522072042087636
2023-01-26 14:00:00,long,115.26238659004333,1932.658,1929.655,-346.13294692989194
2023-02-09 07:00:00,short,74.75358016253558,1883.695,1882.115,118.11065665680078
2023-02-19 18:00:00,short,132.61845670007415,1842.018,1840.407,213.6483337438332
2023-03-09 13:00:00,short,103.36222553637654,1825.905,1829.235,-344.1962110361264
2023-03-15 04:00:00,long,111.84431271669919,1887.435,1887.435,0.0
2023-03-21 14:00:00,long,99.20634920635057,1953.035,1936.575,-1632.9365079365339
2023-03-22 00:00:00,long,67.84457776442414,1939.205,1939.215,0.6784457776436243
2023-04-02 22:00:00,long,84.07196560255584,1968.748,1960.225,-716.545362830595
2023-04-06 11:00:00,long,72.3387105108146,2003.498,2011.795,600.1942811082305
2023-05-21 23:00:00,short,95.68985550831755,1974.645,1978.075,-328.2162043935353
2023-08-10 10:00:00,short,77.10949548358671,1926.125,1922.604,271.50253359770556
2023-08-31 21:00:00,long,123.25896708985542,1940.535,1939.198,-164.79723899913535
2023-09-07 09:00:00,short,173.19016279875058,1921.745,1923.105,-235.53862140632285
2023-10-24 11:00:00,long,194.75822157921584,1966.465,1963.635,-551.1657670691667
2023-10-31 01:00:00,long,92.18531882950988,1992.055,1992.985,85.7323465114291
2023-11-09 14:00:00,short,182.67223382045634,1961.805,1962.955,-210.07306889349988
2023-11-19 20:00:00,long,100.0071433673829,1974.515,1977.445,293.02093006641553
2023-12-06 03:00:00,short,117.97222596737267,2034.015,2033.965,5.898611298390092
2023-12-17 21:00:00,long,123.56139236037455,2019.558,2019.285,-33.73226011437124
2024-01-18 23:00:00,short,85.84427847883903,2020.475,2022.815,-200.87561164049583
2024-02-13 07:00:00,short,158.77696373080423,2025.125,2027.565,-387.41579150317096
2024-02-15 08:00:00,short,248.35905623558682,1997.445,1997.915,-116.72875643073259
2024-02-15 11:00:00,short,192.2073642878712,2003.645,2000.705,565.0896510063518
2024-03-12 08:00:00,long,141.47416075506638,2169.675,2169.655,-2.829483215098754
2024-03-12 19:00:00,long,92.97259964670391,2161.955,2156.905,-469.5116282158294
2024-03-21 18:00:00,long,66.06204169458559,2176.555,2181.025,295.2973263748144
2024-04-04 10:00:00,long,78.41819302078173,2288.105,2287.414,-54.18697137734477
2024-04-10 10:00:00,long,96.56104727353055,2333.785,2333.865,7.724883781875418
2024-04-10 18:00:00,long,56.92815666628652,2327.365,2333.414,344.3584196743918
2024-05-01 13:00:00,short,45.364405791090554,2304.355,2303.515,38.106100864522666
2024-05-13 05:00:00,long,80.66374740723651,2349.535,2343.165,-513.8280709840878
2024-05-16 11:00:00,long,101.11807702308431,2374.975,2373.185,-181.00135787131723
2024-05-22 01:00:00,long,81.9892945406843,2412.694,2412.644,-4.099464727049129
2024-05-22 10:00:00,long,94.87794629908007,2408.665,2411.444,263.66581276514313
2024-05-27 14:00:00,short,62.63421617752289,2354.788,2354.885,-6.075518969232708
2024-06-27 08:00:00,short,105.86811857229152,2312.498,2316.928,-468.99576527523413
2024-07-08 07:00:00,long,122.70799004312349,2370.048,2374.035,489.23675630194316
2024-07-12 09:00:00,long,103.11100636342223,2400.058,2397.835,-229.21576714588312
2024-07-18 20:00:00,long,90.21781157365571,2444.915,2441.148,-339.8504961979453
2024-07-28 20:00:00,short,72.97215591022434,2389.045,2396.935,-575.7503101316607
2024-10-10 12:00:00,short,75.1556796220744,2624.898,2623.505,104.69186171355183
2024-10-25 02:00:00,long,66.76267775563029,2728.245,2728.445,13.352535551144275
2024-10-31 08:00:00,long,119.6110930745165,2773.565,2773.555,-1.1961109307712736
2024-11-07 20:00:00,short,77.433628318584,2698.725,2706.185,-577.6548672566395
2024-11-27 03:00:00,short,58.41706445905778,2641.864,2646.435,-267.024401642348
2024-12-12 19:00:00,long,87.14488459527523,2686.334,2680.534,-505.4403306525725
2024-12-16 09:00:00,short,69.32271705437819,2663.385,2661.705,116.46216465137553
2024-12-20 10:00:00,short,91.90090456747511,2616.005,2616.145,-12.866126639434814
2024-12-20 16:00:00,short,78.26300843004445,2624.968,2622.615,184.1528588358997
