datetime,open,high,low,close,volume
2020-01-01 17:00:00,76.266,76.304,76.101,76.143,0
2020-01-01 18:00:00,76.15,76.316,76.137,76.311,0
2020-01-01 19:00:00,76.311,76.321,76.23,76.247,0
2020-01-01 20:00:00,76.247,76.303,76.208,76.238,0
2020-01-01 21:00:00,76.239,76.279,76.206,76.245,0
2020-01-01 22:00:00,76.246,76.259,76.16,76.162,0
2020-01-01 23:00:00,76.162,76.189,76.128,76.145,0
2020-01-02 00:00:00,76.146,76.178,76.066,76.138,0
2020-01-02 01:00:00,76.139,76.151,76.06,76.099,0
2020-01-02 02:00:00,76.101,76.18,76.088,76.157,0
2020-01-02 03:00:00,76.157,76.219,76.146,76.208,0
2020-01-02 04:00:00,76.208,76.239,76.139,76.161,0
2020-01-02 05:00:00,76.163,76.189,76.082,76.132,0
2020-01-02 06:00:00,76.132,76.134,75.954,75.974,0
2020-01-02 07:00:00,75.975,76.073,75.96,76.065,0
2020-01-02 08:00:00,76.063,76.093,76.009,76.047,0
2020-01-02 09:00:00,76.049,76.077,75.951,75.983,0
2020-01-02 10:00:00,75.982,75.987,75.706,75.818,0
2020-01-02 11:00:00,75.82,75.832,75.672,75.704,0
2020-01-02 12:00:00,75.704,75.809,75.697,75.794,0
2020-01-02 13:00:00,75.794,75.799,75.756,75.777,0
2020-01-02 14:00:00,75.776,75.816,75.755,75.787,0
2020-01-02 15:00:00,75.787,75.844,75.781,75.844,0
2020-01-02 16:00:00,75.844,75.896,75.83,75.881,0
2020-01-02 17:00:00,75.876,75.897,75.766,75.788,0
2020-01-02 18:00:00,75.788,75.895,75.788,75.799,0
2020-01-02 19:00:00,75.798,75.801,75.704,75.704,0
2020-01-02 20:00:00,75.702,75.748,75.437,75.454,0
2020-01-02 21:00:00,75.455,75.522,75.241,75.297,0
2020-01-02 22:00:00,75.297,75.385,75.209,75.382,0
2020-01-02 23:00:00,75.383,75.45,75.307,75.313,0
2020-01-03 00:00:00,75.313,75.346,75.212,75.256,0
2020-01-03 01:00:00,75.255,75.296,75.219,75.286,0
2020-01-03 02:00:00,75.291,75.293,75.027,75.069,0
2020-01-03 03:00:00,75.067,75.205,75.025,75.061,0
2020-01-03 04:00:00,75.061,75.061,74.924,74.965,0
2020-01-03 05:00:00,74.964,75.033,74.931,74.951,0
2020-01-03 06:00:00,74.95,74.995,74.854,74.886,0
2020-01-03 07:00:00,74.887,75.129,74.881,75.086,0
2020-01-03 08:00:00,75.087,75.215,75.087,75.117,0
2020-01-03 09:00:00,75.117,75.253,75.109,75.183,0
2020-01-03 10:00:00,75.193,75.25,75.101,75.143,0
2020-01-03 11:00:00,75.144,75.184,75.072,75.147,0
2020-01-03 12:00:00,75.146,75.192,75.141,75.175,0
2020-01-03 13:00:00,75.175,75.185,75.005,75.171,0
2020-01-03 14:00:00,75.171,75.191,75.125,75.16,0
2020-01-03 15:00:00,75.16,75.179,75.132,75.161,0
2020-01-03 16:00:00,75.163,75.183,75.063,75.063,0
2020-01-05 17:00:00,74.866,74.921,74.774,74.774,0
2020-01-05 18:00:00,74.774,74.977,74.732,74.967,0
2020-01-05 19:00:00,74.967,75.206,74.965,75.135,0
2020-01-05 20:00:00,75.135,75.154,74.853,74.917,0
2020-01-05 21:00:00,74.915,75.07,74.908,75.041,0
2020-01-05 22:00:00,75.04,75.065,74.974,75.012,0
2020-01-05 23:00:00,75.011,75.072,74.981,75.046,0
2020-01-06 00:00:00,75.048,75.056,74.958,74.959,0
2020-01-06 01:00:00,74.96,74.991,74.856,74.981,0
2020-01-06 02:00:00,74.982,75.15,74.974,75.082,0
2020-01-06 03:00:00,75.083,75.138,74.912,74.994,0
2020-01-06 04:00:00,74.995,75.123,74.977,75.105,0
2020-01-06 05:00:00,75.103,75.161,75.071,75.092,0
2020-01-06 06:00:00,75.091,75.14,75.037,75.074,0
2020-01-06 07:00:00,75.077,75.19,75.061,75.162,0
2020-01-06 08:00:00,75.161,75.166,75.037,75.081,0
2020-01-06 09:00:00,75.081,75.102,74.852,74.915,0
2020-01-06 10:00:00,74.916,75.147,74.891,75.101,0
2020-01-06 11:00:00,75.102,75.153,75.075,75.11,0
2020-01-06 12:00:00,75.111,75.158,75.102,75.141,0
2020-01-06 13:00:00,75.139,75.187,75.135,75.156,0
2020-01-06 14:00:00,75.157,75.221,75.144,75.197,0
2020-01-06 15:00:00,75.2,75.259,75.191,75.258,0
2020-01-06 16:00:00,75.26,75.27,75.198,75.198,0
2020-01-06 17:00:00,75.198,75.218,75.11,75.19,0
2020-01-06 18:00:00,75.191,75.216,75.144,75.203,0
2020-01-06 19:00:00,75.204,75.236,75.102,75.124,0
2020-01-06 20:00:00,75.124,75.228,75.104,75.166,0
2020-01-06 21:00:00,75.166,75.222,75.133,75.178,0
2020-01-06 22:00:00,75.179,75.262,75.169,75.239,0
2020-01-06 23:00:00,75.238,75.248,75.152,75.16,0
2020-01-07 00:00:00,75.158,75.204,74.951,74.957,0
2020-01-07 01:00:00,74.958,75.024,74.81,74.97,0
2020-01-07 02:00:00,74.969,75.007,74.707,74.742,0
2020-01-07 03:00:00,74.744,75.002,74.734,74.895,0
2020-01-07 04:00:00,74.896,74.942,74.702,74.764,0
2020-01-07 05:00:00,74.763,74.769,74.539,74.581,0
2020-01-07 06:00:00,74.583,74.6,74.475,74.537,0
2020-01-07 07:00:00,74.538,74.625,74.536,74.55,0
2020-01-07 08:00:00,74.55,74.606,74.446,74.46,0
2020-01-07 09:00:00,74.459,74.501,74.37,74.441,0
2020-01-07 10:00:00,74.443,74.61,74.405,74.596,0
2020-01-07 11:00:00,74.596,74.617,74.455,74.456,0
2020-01-07 12:00:00,74.458,74.556,74.447,74.553,0
2020-01-07 13:00:00,74.551,74.582,74.532,74.536,0
2020-01-07 14:00:00,74.537,74.554,74.506,74.544,0
2020-01-07 15:00:00,74.545,74.573,74.532,74.554,0
2020-01-07 16:00:00,74.559,74.559,74.348,74.497,0
2020-01-07 17:00:00,74.497,74.544,74.432,74.479,0
2020-01-07 18:00:00,74.481,74.497,73.871,74.082,0
2020-01-07 19:00:00,74.082,74.168,73.756,73.988,0
2020-01-07 20:00:00,73.987,74.319,73.932,74.169,0
2020-01-07 21:00:00,74.168,74.638,74.144,74.535,0
2020-01-07 22:00:00,74.536,74.585,74.266,74.46,0
2020-01-07 23:00:00,74.46,74.529,74.39,74.406,0
2020-01-08 00:00:00,74.406,74.484,74.372,74.399,0
2020-01-08 01:00:00,74.403,74.503,74.4,74.462,0
2020-01-08 02:00:00,74.463,74.653,74.463,74.614,0
2020-01-08 03:00:00,74.614,74.689,74.51,74.567,0
2020-01-08 04:00:00,74.566,74.605,74.514,74.526,0
2020-01-08 05:00:00,74.526,74.7,74.448,74.629,0
2020-01-08 06:00:00,74.63,74.736,74.589,74.7,0
2020-01-08 07:00:00,74.699,74.725,74.543,74.635,0
2020-01-08 08:00:00,74.634,74.674,74.579,74.628,0
2020-01-08 09:00:00,74.629,74.667,74.515,74.537,0
2020-01-08 10:00:00,74.538,74.569,74.426,74.46,0
2020-01-08 11:00:00,74.463,74.985,74.455,74.901,0
2020-01-08 12:00:00,74.902,75.043,74.901,75.013,0
2020-01-08 13:00:00,75.013,75.064,74.982,74.992,0
2020-01-08 14:00:00,74.992,75.068,74.987,75.057,0
2020-01-08 15:00:00,75.056,75.058,74.84,74.861,0
2020-01-08 16:00:00,74.865,75.011,74.855,74.91,0
2020-01-08 17:00:00,74.882,74.966,74.839,74.879,0
2020-01-08 18:00:00,74.88,74.988,74.841,74.966,0
2020-01-08 19:00:00,74.968,75.111,74.95,75.048,0
2020-01-08 20:00:00,75.047,75.151,75.012,75.095,0
2020-01-08 21:00:00,75.093,75.093,75.022,75.065,0
2020-01-08 22:00:00,75.065,75.072,74.997,75.026,0
2020-01-08 23:00:00,75.024,75.063,74.98,75.055,0
2020-01-09 00:00:00,75.055,75.133,75.044,75.128,0
2020-01-09 01:00:00,75.13,75.166,75.086,75.142,0
2020-01-09 02:00:00,75.144,75.202,75.095,75.189,0
2020-01-09 03:00:00,75.185,75.185,75.011,75.038,0
2020-01-09 04:00:00,75.039,75.078,74.978,75.045,0
2020-01-09 05:00:00,75.045,75.107,75.026,75.104,0
2020-01-09 06:00:00,75.104,75.135,75.059,75.062,0
2020-01-09 07:00:00,75.062,75.141,74.984,75.028,0
2020-01-09 08:00:00,75.027,75.157,75.017,75.121,0
2020-01-09 09:00:00,75.12,75.151,75.026,75.128,0
2020-01-09 10:00:00,75.127,75.127,75.046,75.075,0
2020-01-09 11:00:00,75.076,75.083,75.024,75.056,0
2020-01-09 12:00:00,75.056,75.063,74.975,75.036,0
2020-01-09 13:00:00,75.036,75.036,74.957,75.003,0
2020-01-09 14:00:00,75.004,75.034,74.992,75.027,0
2020-01-09 15:00:00,75.026,75.085,75.016,75.069,0
2020-01-09 16:00:00,75.067,75.116,75.059,75.112,0
2020-01-09 17:00:00,75.106,75.112,75.012,75.028,0
2020-01-09 18:00:00,75.025,75.091,75.025,75.041,0
2020-01-09 19:00:00,75.042,75.293,75.029,75.094,0
2020-01-09 20:00:00,75.094,75.19,75.078,75.09,0
2020-01-09 21:00:00,75.092,75.178,75.066,75.177,0
2020-01-09 22:00:00,75.177,75.247,75.137,75.241,0
2020-01-09 23:00:00,75.242,75.331,75.236,75.286,0
2020-01-10 00:00:00,75.288,75.403,75.263,75.369,0
2020-01-10 01:00:00,75.366,75.426,75.36,75.365,0
2020-01-10 02:00:00,75.368,75.379,75.291,75.361,0
2020-01-10 03:00:00,75.361,75.361,75.277,75.308,0
2020-01-10 04:00:00,75.307,75.404,75.28,75.394,0
2020-01-10 05:00:00,75.394,75.4,75.351,75.384,0
2020-01-10 06:00:00,75.385,75.49,75.375,75.456,0
2020-01-10 07:00:00,75.457,75.46,75.387,75.403,0
2020-01-10 08:00:00,75.402,75.522,75.355,75.432,0
2020-01-10 09:00:00,75.431,75.511,75.386,75.5,0
2020-01-10 10:00:00,75.501,75.669,75.461,75.659,0
2020-01-10 11:00:00,75.661,75.661,75.475,75.573,0
2020-01-10 12:00:00,75.573,75.67,75.524,75.603,0
2020-01-10 13:00:00,75.603,75.643,75.602,75.617,0
2020-01-10 14:00:00,75.618,75.697,75.616,75.673,0
2020-01-10 15:00:00,75.672,75.675,75.604,75.625,0
2020-01-10 16:00:00,75.624,75.628,75.511,75.511,0
2020-01-12 17:00:00,75.534,75.569,75.503,75.536,0
2020-01-12 18:00:00,75.537,75.675,75.536,75.59,0
2020-01-12 19:00:00,75.588,75.664,75.555,75.658,0
2020-01-12 20:00:00,75.658,75.778,75.646,75.761,0
2020-01-12 21:00:00,75.76,75.808,75.719,75.804,0
2020-01-12 22:00:00,75.806,75.853,75.777,75.814,0
2020-01-12 23:00:00,75.814,75.831,75.787,75.787,0
2020-01-13 00:00:00,75.787,75.858,75.782,75.835,0
2020-01-13 01:00:00,75.836,75.851,75.79,75.821,0
2020-01-13 02:00:00,75.822,75.855,75.767,75.804,0
2020-01-13 03:00:00,75.803,75.841,75.721,75.801,0
2020-01-13 04:00:00,75.802,75.948,75.801,75.853,0
2020-01-13 05:00:00,75.853,75.853,75.762,75.811,0
2020-01-13 06:00:00,75.808,75.836,75.79,75.794,0
2020-01-13 07:00:00,75.795,75.877,75.761,75.836,0
2020-01-13 08:00:00,75.835,75.879,75.826,75.876,0
2020-01-13 09:00:00,75.877,75.885,75.762,75.814,0
2020-01-13 10:00:00,75.814,75.928,75.814,75.893,0
2020-01-13 11:00:00,75.894,76.009,75.893,75.968,0
2020-01-13 12:00:00,75.968,75.992,75.953,75.972,0
2020-01-13 13:00:00,75.972,76.008,75.951,75.952,0
2020-01-13 14:00:00,75.952,75.961,75.897,75.912,0
2020-01-13 15:00:00,75.912,75.915,75.881,75.906,0
2020-01-13 16:00:00,75.907,75.917,75.872,75.895,0
2020-01-13 17:00:00,75.895,75.925,75.858,75.868,0
2020-01-13 18:00:00,75.867,75.902,75.841,75.878,0
2020-01-13 19:00:00,75.879,76.103,75.867,76.062,0
2020-01-13 20:00:00,76.064,76.064,75.738,75.828,0
2020-01-13 21:00:00,75.828,75.938,75.789,75.916,0
2020-01-13 22:00:00,75.916,75.963,75.878,75.941,0
2020-01-13 23:00:00,75.942,76.009,75.935,75.958,0
2020-01-14 00:00:00,75.956,75.966,75.886,75.9,0
2020-01-14 01:00:00,75.9,76.051,75.897,76.033,0
2020-01-14 02:00:00,76.032,76.034,75.875,75.947,0
2020-01-14 03:00:00,75.948,75.983,75.768,75.805,0
2020-01-14 04:00:00,75.806,75.924,75.78,75.917,0
2020-01-14 05:00:00,75.918,75.933,75.861,75.91,0
2020-01-14 06:00:00,75.911,75.932,75.83,75.926,0
2020-01-14 07:00:00,75.927,75.946,75.867,75.92,0
2020-01-14 08:00:00,75.922,75.95,75.852,75.921,0
2020-01-14 09:00:00,75.92,76.008,75.897,75.946,0
2020-01-14 10:00:00,75.949,75.971,75.88,75.937,0
2020-01-14 11:00:00,75.936,76.004,75.921,75.979,0
2020-01-14 12:00:00,75.979,76.022,75.948,76.012,0
2020-01-14 13:00:00,76.012,76.037,75.771,75.882,0
2020-01-14 14:00:00,75.884,75.977,75.826,75.931,0
2020-01-14 15:00:00,75.929,75.936,75.9,75.914,0
2020-01-14 16:00:00,75.914,75.951,75.897,75.897,0
2020-01-14 17:00:00,75.896,75.932,75.876,75.883,0
2020-01-14 18:00:00,75.882,75.905,75.699,75.74,0
2020-01-14 19:00:00,75.741,75.871,75.719,75.789,0
2020-01-14 20:00:00,75.79,75.884,75.783,75.846,0
2020-01-14 21:00:00,75.847,75.882,75.777,75.807,0
2020-01-14 22:00:00,75.805,75.832,75.751,75.785,0
2020-01-14 23:00:00,75.787,75.827,75.767,75.805,0
2020-01-15 00:00:00,75.804,75.836,75.776,75.823,0
2020-01-15 01:00:00,75.824,75.867,75.798,75.841,0
2020-01-15 02:00:00,75.842,75.844,75.775,75.789,0
2020-01-15 03:00:00,75.79,75.797,75.646,75.692,0
2020-01-15 04:00:00,75.692,75.725,75.657,75.67,0
2020-01-15 05:00:00,75.667,75.731,75.654,75.707,0
2020-01-15 06:00:00,75.706,75.751,75.7,75.74,0
2020-01-15 07:00:00,75.738,75.784,75.693,75.708,0
2020-01-15 08:00:00,75.707,75.723,75.58,75.619,0
2020-01-15 09:00:00,75.618,75.79,75.606,75.777,0
2020-01-15 10:00:00,75.778,75.947,75.725,75.94,0
2020-01-15 11:00:00,75.94,76.008,75.896,75.967,0
2020-01-15 12:00:00,75.967,76.036,75.925,75.926,0
2020-01-15 13:00:00,75.926,75.949,75.844,75.874,0
2020-01-15 14:00:00,75.873,75.896,75.848,75.877,0
2020-01-15 15:00:00,75.876,75.882,75.795,75.872,0
2020-01-15 16:00:00,75.872,75.913,75.834,75.834,0
2020-01-15 17:00:00,75.83,75.887,75.826,75.85,0
2020-01-15 18:00:00,75.85,75.902,75.846,75.9,0
2020-01-15 19:00:00,75.901,76.085,75.889,76.003,0
2020-01-15 20:00:00,76.005,76.027,75.91,75.961,0
2020-01-15 21:00:00,75.961,75.985,75.905,75.946,0
2020-01-15 22:00:00,75.946,75.961,75.88,75.913,0
2020-01-15 23:00:00,75.912,75.955,75.885,75.915,0
2020-01-16 00:00:00,75.915,75.94,75.909,75.934,0
2020-01-16 01:00:00,75.934,75.937,75.886,75.93,0
2020-01-16 02:00:00,75.932,75.968,75.891,75.942,0
2020-01-16 03:00:00,75.943,76.12,75.933,76.083,0
2020-01-16 04:00:00,76.082,76.124,76.022,76.115,0
2020-01-16 05:00:00,76.117,76.126,76.071,76.111,0
2020-01-16 06:00:00,76.111,76.192,76.105,76.163,0
2020-01-16 07:00:00,76.164,76.197,76.14,76.187,0
2020-01-16 08:00:00,76.186,76.244,76.125,76.158,0
2020-01-16 09:00:00,76.158,76.237,76.011,76.036,0
2020-01-16 10:00:00,76.038,76.051,75.878,75.947,0
2020-01-16 11:00:00,75.949,75.987,75.925,75.948,0
2020-01-16 12:00:00,75.949,75.98,75.867,75.916,0
2020-01-16 13:00:00,75.917,75.927,75.866,75.902,0
2020-01-16 14:00:00,75.905,75.942,75.891,75.918,0
2020-01-16 15:00:00,75.918,76.003,75.917,75.993,0
2020-01-16 16:00:00,75.994,76.009,75.963,75.963,0
2020-01-16 17:00:00,75.963,76.011,75.958,75.989,0
2020-01-16 18:00:00,75.989,76.029,75.986,76.006,0
2020-01-16 19:00:00,76.007,76.069,75.928,76.035,0
2020-01-16 20:00:00,76.035,76.041,75.832,75.935,0
2020-01-16 21:00:00,75.972,76.077,75.954,75.967,0
2020-01-16 22:00:00,75.965,75.993,75.935,75.969,0
2020-01-16 23:00:00,75.97,75.99,75.951,75.959,0
2020-01-17 00:00:00,75.961,76.019,75.958,76.011,0
2020-01-17 01:00:00,76.012,76.08,75.991,76.069,0
2020-01-17 02:00:00,76.069,76.14,76.068,76.129,0
2020-01-17 03:00:00,76.13,76.167,76.084,76.086,0
2020-01-17 04:00:00,76.086,76.133,76.013,76.106,0
2020-01-17 05:00:00,76.107,76.137,75.978,75.985,0
2020-01-17 06:00:00,75.985,76.004,75.899,75.995,0
2020-01-17 07:00:00,75.995,76.004,75.86,75.884,0
2020-01-17 08:00:00,75.883,75.927,75.856,75.894,0
2020-01-17 09:00:00,75.896,75.95,75.816,75.861,0
2020-01-17 10:00:00,75.862,75.864,75.704,75.79,0
2020-01-17 11:00:00,75.79,75.804,75.715,75.748,0
2020-01-17 12:00:00,75.749,75.775,75.733,75.758,0
2020-01-17 13:00:00,75.757,75.77,75.739,75.752,0
2020-01-17 14:00:00,75.753,75.759,75.724,75.738,0
2020-01-17 15:00:00,75.738,75.767,75.726,75.741,0
2020-01-17 16:00:00,75.742,75.743,75.663,75.675,0
2020-01-19 17:00:00,75.658,75.741,75.651,75.727,0
2020-01-19 18:00:00,75.726,75.842,75.722,75.822,0
2020-01-19 19:00:00,75.822,75.844,75.762,75.769,0
2020-01-19 20:00:00,75.77,75.828,75.761,75.822,0
2020-01-19 21:00:00,75.82,75.863,75.807,75.811,0
2020-01-19 22:00:00,75.81,75.852,75.808,75.842,0
2020-01-19 23:00:00,75.841,75.853,75.816,75.845,0
2020-01-20 00:00:00,75.846,75.879,75.826,75.864,0
2020-01-20 01:00:00,75.863,75.883,75.84,75.883,0
2020-01-20 02:00:00,75.881,75.894,75.723,75.726,0
2020-01-20 03:00:00,75.726,75.749,75.682,75.709,0
