datetime,open,high,low,close,volume
2020-01-01 17:00:00,144.044,144.077,143.732,143.959,0
2020-01-01 18:00:00,143.957,144.086,143.921,144.053,0
2020-01-01 19:00:00,144.053,144.18,144.004,144.101,0
2020-01-01 20:00:00,144.099,144.186,144.003,144.056,0
2020-01-01 21:00:00,144.05,144.065,143.912,143.979,0
2020-01-01 22:00:00,143.981,143.997,143.499,143.599,0
2020-01-01 23:00:00,143.596,143.703,143.525,143.618,0
2020-01-02 00:00:00,143.618,143.69,143.56,143.683,0
2020-01-02 01:00:00,143.688,143.787,143.589,143.724,0
2020-01-02 02:00:00,143.726,143.908,143.7,143.806,0
2020-01-02 03:00:00,143.807,143.941,143.728,143.829,0
2020-01-02 04:00:00,143.828,143.914,143.767,143.822,0
2020-01-02 05:00:00,143.823,143.835,143.718,143.748,0
2020-01-02 06:00:00,143.746,143.75,143.478,143.575,0
2020-01-02 07:00:00,143.575,143.748,143.488,143.567,0
2020-01-02 08:00:00,143.564,143.564,143.165,143.22,0
2020-01-02 09:00:00,143.22,143.268,142.732,142.878,0
2020-01-02 10:00:00,142.878,142.992,142.669,142.8,0
2020-01-02 11:00:00,142.8,142.814,142.263,142.343,0
2020-01-02 12:00:00,142.342,142.546,142.312,142.544,0
2020-01-02 13:00:00,142.544,142.645,142.418,142.592,0
2020-01-02 14:00:00,142.591,142.625,142.505,142.514,0
2020-01-02 15:00:00,142.512,142.656,142.512,142.627,0
2020-01-02 16:00:00,142.629,142.653,142.574,142.586,0
2020-01-02 17:00:00,142.581,142.693,142.47,142.546,0
2020-01-02 18:00:00,142.55,142.778,142.533,142.699,0
2020-01-02 19:00:00,142.697,142.749,142.588,142.607,0
2020-01-02 20:00:00,142.607,142.667,142.091,142.148,0
2020-01-02 21:00:00,142.151,142.229,141.765,141.855,0
2020-01-02 22:00:00,141.853,142.112,141.807,142.108,0
2020-01-02 23:00:00,142.106,142.166,141.907,141.928,0
2020-01-03 00:00:00,141.931,141.989,141.777,141.867,0
2020-01-03 01:00:00,141.866,141.92,141.645,141.914,0
2020-01-03 02:00:00,141.916,141.916,141.19,141.31,0
2020-01-03 03:00:00,141.311,141.714,141.244,141.441,0
2020-01-03 04:00:00,141.441,141.494,141.198,141.217,0
2020-01-03 05:00:00,141.218,141.474,141.218,141.309,0
2020-01-03 06:00:00,141.311,141.332,140.996,141.069,0
2020-01-03 07:00:00,141.07,141.404,141.024,141.371,0
2020-01-03 08:00:00,141.371,141.756,141.371,141.382,0
2020-01-03 09:00:00,141.382,141.616,141.34,141.433,0
2020-01-03 10:00:00,141.452,141.549,141.192,141.219,0
2020-01-03 11:00:00,141.216,141.399,141.158,141.293,0
2020-01-03 12:00:00,141.293,141.347,141.202,141.305,0
2020-01-03 13:00:00,141.305,141.376,141.013,141.376,0
2020-01-03 14:00:00,141.379,141.391,141.249,141.262,0
2020-01-03 15:00:00,141.267,141.339,141.246,141.31,0
2020-01-03 16:00:00,141.31,141.382,141.299,141.337,0
2020-01-05 17:00:00,141.158,141.213,140.867,140.867,0
2020-01-05 18:00:00,140.853,141.231,140.82,141.187,0
2020-01-05 19:00:00,141.191,141.488,141.191,141.344,0
2020-01-05 20:00:00,141.343,141.355,141.126,141.181,0
2020-01-05 21:00:00,141.182,141.408,141.172,141.377,0
2020-01-05 22:00:00,141.378,141.41,141.304,141.352,0
2020-01-05 23:00:00,141.352,141.449,141.324,141.383,0
2020-01-06 00:00:00,141.386,141.414,141.328,141.345,0
2020-01-06 01:00:00,141.346,141.383,141.114,141.356,0
2020-01-06 02:00:00,141.359,141.583,141.301,141.317,0
2020-01-06 03:00:00,141.317,141.523,141.165,141.507,0
2020-01-06 04:00:00,141.506,141.961,141.486,141.924,0
2020-01-06 05:00:00,141.925,142.292,141.917,142.04,0
2020-01-06 06:00:00,142.046,142.384,142.034,142.168,0
2020-01-06 07:00:00,142.168,142.26,142.038,142.102,0
2020-01-06 08:00:00,142.103,142.175,141.986,142.074,0
2020-01-06 09:00:00,142.073,142.281,141.975,142.053,0
2020-01-06 10:00:00,142.053,142.575,142.019,142.531,0
2020-01-06 11:00:00,142.532,142.741,142.423,142.635,0
2020-01-06 12:00:00,142.635,142.753,142.564,142.572,0
2020-01-06 13:00:00,142.57,142.67,142.57,142.583,0
2020-01-06 14:00:00,142.585,142.776,142.554,142.753,0
2020-01-06 15:00:00,142.752,142.785,142.674,142.771,0
2020-01-06 16:00:00,142.771,142.781,142.67,142.67,0
2020-01-06 17:00:00,142.674,142.785,142.608,142.777,0
2020-01-06 18:00:00,142.776,142.831,142.717,142.789,0
2020-01-06 19:00:00,142.788,142.899,142.746,142.825,0
2020-01-06 20:00:00,142.825,142.875,142.757,142.821,0
2020-01-06 21:00:00,142.819,142.871,142.788,142.848,0
2020-01-06 22:00:00,142.847,142.911,142.833,142.892,0
2020-01-06 23:00:00,142.892,142.941,142.871,142.895,0
2020-01-07 00:00:00,142.895,142.912,142.626,142.633,0
2020-01-07 01:00:00,142.634,142.717,142.444,142.656,0
2020-01-07 02:00:00,142.659,142.683,142.298,142.366,0
2020-01-07 03:00:00,142.369,143.291,142.358,143.026,0
2020-01-07 04:00:00,143.024,143.132,142.786,142.88,0
2020-01-07 05:00:00,142.877,142.885,142.472,142.674,0
2020-01-07 06:00:00,142.674,142.723,142.493,142.506,0
2020-01-07 07:00:00,142.507,142.538,142.116,142.256,0
2020-01-07 08:00:00,142.253,142.31,142.063,142.247,0
2020-01-07 09:00:00,142.245,142.453,142.017,142.086,0
2020-01-07 10:00:00,142.099,142.546,142.041,142.503,0
2020-01-07 11:00:00,142.505,142.544,142.286,142.457,0
2020-01-07 12:00:00,142.457,142.629,142.414,142.489,0
2020-01-07 13:00:00,142.49,142.571,142.455,142.458,0
2020-01-07 14:00:00,142.459,142.489,142.382,142.391,0
2020-01-07 15:00:00,142.391,142.437,142.379,142.396,0
2020-01-07 16:00:00,142.397,142.408,142.113,142.27,0
2020-01-07 17:00:00,142.267,142.357,142.128,142.233,0
2020-01-07 18:00:00,142.233,142.299,141.322,141.618,0
2020-01-07 19:00:00,141.618,141.721,141.119,141.425,0
2020-01-07 20:00:00,141.424,141.874,141.347,141.701,0
2020-01-07 21:00:00,141.701,142.5,141.684,142.342,0
2020-01-07 22:00:00,142.343,142.424,141.97,142.285,0
2020-01-07 23:00:00,142.286,142.375,142.04,142.111,0
2020-01-08 00:00:00,142.113,142.199,142.058,142.065,0
2020-01-08 01:00:00,142.067,142.371,142.063,142.291,0
2020-01-08 02:00:00,142.293,142.697,142.281,142.595,0
2020-01-08 03:00:00,142.596,142.832,142.424,142.785,0
2020-01-08 04:00:00,142.787,142.83,142.176,142.284,0
2020-01-08 05:00:00,142.274,142.669,141.968,142.584,0
2020-01-08 06:00:00,142.581,142.666,142.389,142.513,0
2020-01-08 07:00:00,142.513,142.632,142.187,142.393,0
2020-01-08 08:00:00,142.392,142.631,142.272,142.59,0
2020-01-08 09:00:00,142.589,142.827,142.555,142.655,0
2020-01-08 10:00:00,142.656,142.727,142.183,142.296,0
2020-01-08 11:00:00,142.297,142.95,142.25,142.93,0
2020-01-08 12:00:00,142.93,143.065,142.903,142.967,0
2020-01-08 13:00:00,142.967,143.058,142.922,142.998,0
2020-01-08 14:00:00,142.998,143.103,142.964,143.101,0
2020-01-08 15:00:00,143.099,143.099,142.778,142.813,0
2020-01-08 16:00:00,142.813,142.978,142.799,142.828,0
2020-01-08 17:00:00,142.831,142.953,142.82,142.875,0
2020-01-08 18:00:00,142.875,142.968,142.827,142.895,0
2020-01-08 19:00:00,142.894,143.231,142.876,143.135,0
2020-01-08 20:00:00,143.134,143.238,143.1,143.232,0
2020-01-08 21:00:00,143.23,143.23,143.087,143.143,0
2020-01-08 22:00:00,143.142,143.167,143.095,143.105,0
2020-01-08 23:00:00,143.103,143.175,143.084,143.167,0
2020-01-09 00:00:00,143.167,143.351,143.162,143.326,0
2020-01-09 01:00:00,143.33,143.453,143.235,143.277,0
2020-01-09 02:00:00,143.275,143.434,143.163,143.409,0
2020-01-09 03:00:00,143.407,143.407,143.093,143.099,0
2020-01-09 04:00:00,143.098,143.166,142.42,142.569,0
2020-01-09 05:00:00,142.567,142.747,142.496,142.739,0
2020-01-09 06:00:00,142.741,142.827,142.456,142.498,0
2020-01-09 07:00:00,142.497,142.73,142.426,142.572,0
2020-01-09 08:00:00,142.567,143.027,142.44,142.835,0
2020-01-09 09:00:00,142.833,142.951,142.721,142.871,0
2020-01-09 10:00:00,142.869,142.993,142.78,142.932,0
2020-01-09 11:00:00,142.932,143.105,142.873,143.066,0
2020-01-09 12:00:00,143.066,143.067,142.97,143.035,0
2020-01-09 13:00:00,143.035,143.035,142.88,142.895,0
2020-01-09 14:00:00,142.894,143.001,142.888,142.989,0
2020-01-09 15:00:00,142.988,143.121,142.975,143.077,0
2020-01-09 16:00:00,143.078,143.12,143.042,143.091,0
2020-01-09 17:00:00,143.093,143.143,143.02,143.065,0
2020-01-09 18:00:00,143.064,143.146,143.049,143.104,0
2020-01-09 19:00:00,143.104,143.231,143.042,143.077,0
2020-01-09 20:00:00,143.077,143.139,143.035,143.099,0
2020-01-09 21:00:00,143.099,143.124,143.036,143.121,0
2020-01-09 22:00:00,143.118,143.148,143.094,143.134,0
2020-01-09 23:00:00,143.136,143.295,143.12,143.25,0
2020-01-10 00:00:00,143.247,143.395,143.205,143.335,0
2020-01-10 01:00:00,143.335,143.445,143.317,143.363,0
2020-01-10 02:00:00,143.363,143.395,143.05,143.099,0
2020-01-10 03:00:00,143.1,143.225,142.971,143.183,0
2020-01-10 04:00:00,143.182,143.464,143.075,143.275,0
